id,created_at,customer_id,status
1,2019/8/28 3:36,91,entregue
2,2019/8/16 20:21,7,entregue
3,2019/7/11 11:00,26,pagamento_pendente
4,2019/8/27 21:04,92,pagamento_pendente
5,2019/11/3 19:58,63,entrega_pendente
6,2019/4/4 7:31,3,entrega_pendente
7,2019/5/26 7:22,42,entrega_pendente
8,2020/2/7 21:48,51,pagamento_pendente
9,2020/1/9 11:26,35,carrinho
10,2019/4/27 17:34,5,pagamento_pendente
11,2019/6/28 12:14,47,entrega_pendente
12,2019/3/25 19:22,4,carrinho
13,2020/1/26 11:08,72,entregue
14,2019/11/29 5:59,8,carrinho
15,2019/8/2 21:03,38,pagamento_pendente
16,2019/5/13 6:29,8,carrinho
17,2019/2/12 13:59,98,carrinho
18,2019/6/3 9:11,63,carrinho
19,2019/9/4 21:54,97,entregue
20,2019/5/6 3:08,3,carrinho
21,2019/4/15 13:52,23,entregue
22,2020/2/24 6:04,56,carrinho
23,2019/7/1 4:41,6,entregue
24,2019/1/10 12:20,10,entregue
25,2019/1/18 9:03,52,pagamento_pendente
26,2019/12/1 9:51,99,entrega_pendente
27,2019/4/24 7:55,38,entregue
28,2019/10/14 11:35,26,entrega_pendente
29,2019/11/20 16:27,58,carrinho
30,2019/11/12 1:40,37,entrega_pendente
31,2019/9/15 11:18,30,entregue
32,2019/11/4 20:56,60,entregue
33,2019/8/20 15:09,31,entregue
34,2019/4/20 5:46,78,pagamento_pendente
35,2019/2/19 12:25,63,entrega_pendente
36,2019/7/22 4:03,98,entrega_pendente
37,2019/11/13 0:14,5,entregue
38,2019/6/29 6:35,7,cancelado
39,2019/3/6 1:56,82,pagamento_pendente
40,2019/3/1 9:15,61,entregue
41,2019/3/20 11:00,11,entregue
42,2019/6/17 2:23,12,entrega_pendente
43,2020/1/13 8:48,60,entregue
44,2019/2/19 2:49,60,entregue
45,2019/8/4 22:14,61,entregue
46,2019/6/30 9:50,77,entregue
47,2019/10/22 13:31,24,carrinho
48,2019/12/3 19:38,87,pagamento_pendente
49,2019/7/5 15:59,95,entregue
50,2019/3/24 8:38,47,cancelado
51,2020/1/12 20:39,8,carrinho
52,2020/1/20 13:56,81,cancelado
53,2019/9/1 15:32,44,carrinho
54,2020/1/31 1:02,69,entrega_pendente
55,2019/1/16 16:22,55,cancelado
56,2019/4/6 15:31,44,entrega_pendente
57,2019/6/18 14:25,92,pagamento_pendente
58,2019/2/11 1:17,58,entregue
59,2019/9/25 18:02,98,entrega_pendente
60,2019/5/10 11:14,85,entrega_pendente
61,2019/8/23 23:45,42,entrega_pendente
62,2019/4/15 6:32,86,pagamento_pendente
63,2019/8/19 19:07,23,entrega_pendente
64,2019/4/23 18:54,99,pagamento_pendente
65,2019/8/4 16:18,76,entregue
66,2020/2/1 16:40,26,entrega_pendente
67,2019/12/23 7:56,39,pagamento_pendente
68,2019/9/22 2:09,29,entregue
69,2019/12/14 12:51,46,cancelado
70,2019/12/6 14:02,8,entrega_pendente
71,2019/5/19 17:03,85,entrega_pendente
72,2019/6/1 12:09,17,entrega_pendente
73,2019/2/18 7:38,50,pagamento_pendente
74,2019/5/2 16:04,55,entrega_pendente
75,2019/5/27 10:54,3,pagamento_pendente
76,2019/3/20 22:03,43,pagamento_pendente
77,2019/12/13 20:43,56,entrega_pendente
78,2019/2/22 15:56,10,cancelado
79,2020/1/3 17:21,65,carrinho
80,2019/9/18 16:38,91,cancelado
81,2019/10/6 0:03,18,entregue
82,2019/10/15 1:14,27,carrinho
83,2019/2/19 1:45,4,carrinho
84,2020/1/26 19:23,9,entrega_pendente
85,2020/2/16 4:44,94,cancelado
86,2019/12/28 8:13,50,pagamento_pendente
87,2019/5/11 4:02,69,pagamento_pendente
88,2019/6/4 18:43,17,pagamento_pendente
89,2019/2/18 2:04,59,pagamento_pendente
90,2019/9/14 17:42,1,cancelado
91,2019/8/29 7:39,47,entregue
92,2019/11/12 11:26,61,pagamento_pendente
93,2019/10/29 19:44,71,pagamento_pendente
94,2019/5/16 6:34,77,carrinho
95,2019/5/25 11:57,95,entrega_pendente
96,2019/3/25 21:37,78,entregue
97,2019/3/30 5:33,80,carrinho
98,2020/2/12 18:09,8,carrinho
99,2019/12/21 20:36,74,carrinho
100,2019/12/31 1:47,62,carrinho
101,2019/6/23 5:26,8,pagamento_pendente
102,2019/1/16 2:56,69,entrega_pendente
103,2019/9/1 16:12,66,pagamento_pendente
104,2019/10/15 6:30,82,pagamento_pendente
105,2020/1/28 0:29,78,entregue
106,2019/6/10 2:01,32,cancelado
107,2019/5/21 20:03,89,pagamento_pendente
108,2019/10/7 21:56,1,entrega_pendente
109,2020/1/24 0:01,34,carrinho
110,2019/10/26 23:35,72,entregue
111,2019/2/11 10:03,54,cancelado
112,2019/10/27 1:25,5,entrega_pendente
113,2019/1/3 8:06,16,entregue
114,2020/1/6 9:09,21,carrinho
115,2019/9/4 7:32,63,cancelado
116,2019/5/27 16:24,15,entrega_pendente
117,2019/7/17 10:33,73,carrinho
118,2020/1/16 0:00,79,pagamento_pendente
119,2019/7/24 19:14,38,entregue
120,2019/4/10 0:35,87,cancelado
121,2019/5/4 23:43,62,pagamento_pendente
122,2019/12/27 12:03,39,entrega_pendente
123,2019/2/24 14:39,36,cancelado
124,2019/1/8 20:47,73,entregue
125,2020/2/24 6:33,76,carrinho
126,2019/5/9 14:48,87,entrega_pendente
127,2019/6/4 9:23,97,entrega_pendente
